fault_type,fault_count,fault_pct
Aracin hizini yol hava ve trafigin gerektirdigi sartlara uydurmamak,25058,40.78
Serit izleme ve degistirme kurallarina uymamak,10970,17.85
Arkadan carpmak,9545,15.53
Kavsaklarda gecis oncelige uymamak,4639,7.55
Dogrultu degistirme (donus) kurallarina uymamak,2916,4.74
Tasit giremez trafik isareti bulunan yerlere girmek,1192,1.94
Hatali sekilde veya yasak olan yerlere park etmek,998,1.62
Trafik guvenligi ile ilgili diger kurallara uymamak,786,1.28
Asiri hizla arac kullanmak,774,1.26
Manevralari duzenleyen genel sartlara uymamak,765,1.24
Alkollu olarak arac kullanmak,537,0.87
Gecme yasagi olan yerlerden gecmek,465,0.76
Eksik bozuk veya uygun olmayan arac donanimi,327,0.53
Yaya ve okul gecitlerinde yavaslamamak,165,0.27
Diger,1822,2.96
