country,fatal_injury_accidents,deaths,cars_per_1000,deaths_per_million_cars,deaths_per_million_population
Turkiye,266854,6351,189,391,74
Almanya,289672,2788,578,57,33
Avusturya,34869,370,566,72,41
Belcika,37643,540,507,91,46
Bulgaristan,6605,531,449,185,80
Cekya,19733,527,582,85,49
Danimarka,2563,154,472,55,26
Estonya,1671,49,622,58,36
Finlandiya,3110,196,660,53,35
Fransa,52371,3260,570,84,48
Guney Kibris,372,37,653,62,41
Hirvatistan,10005,275,478,151,71
Hollanda,22885,655,501,74,37
Irlanda,6227,155,443,67,30
Ispanya,97916,1746,553,66,37
Isvec,12612,227,473,46,22
Italya,165889,3159,682,79,54
Letonya,3729,113,409,148,60
Litvanya,2878,120,578,74,42
Luksemburg,1094,36,673,81,55
Macaristan,14748,537,426,132,56
Malta,1275,26,585,82,49
Polonya,21322,1896,584,89,51
Portekiz,34276,618,552,108,59
Romanya,28010,1633,413,211,86
Slovakya,4481,266,471,105,49
Slovenya,5983,85,571,71,40
Yunanistan,10487,654,550,115,63
