year,deaths_per_100k_population,injured_per_100k_population,deaths_per_100k_vehicles,injured_per_100k_vehicles,deaths_per_billion_vkm,injured_per_billion_vkm
2015,9.6,386.6,37.7,1522.5,30.0,1213.3
2016,9.1,380.6,34.6,1440.5,27.2,1133.4
2017,9.2,371.7,33.4,1351.9,26.0,1051.2
2018,8.1,374.5,29.2,1342.9,22.7,1045.2
2019,6.6,340.6,23.6,1223.1,19.1,987.8
2020,5.8,270.6,20.2,937.1,16.9,788.1
2021,6.3,324.3,21.2,1087.6,17.3,884.8
2022,6.1,338.5,19.7,1090.1,15.8,870.0
2023,7.7,411.4,22.8,1220.8,18.8,1007.9
2024,7.4,449.6,20.3,1230.4,NA,NA
